행정규칙일련번호,행정규칙명,종류,주장법령들,판정들,타부처위임확인
2100000268308,2025년 하반기 교육비특별회계로 설립한 출자·출연 기관 고시,고시,훈령ㆍ예규 등의 발령 및 관리에 관한 규정,훈령ㆍ예규 등의 발령 및 관리에 관한 규정=법령검색실패,
2100000269822,2026년 교육급여의 선정기준 및 최저보장수준,고시,국민기초생활 보장법,국민기초생활 보장법=위임없음,
2100000273408,2026년도 누리과정 부담비용 고시,고시,훈령ㆍ예규 등의 발령 및 관리에 관한 규정,훈령ㆍ예규 등의 발령 및 관리에 관한 규정=법령검색실패,
2100000002291,교육규제 관련 공문서 시행 및 관리에 관한 훈령,훈령,공공기관의 정보공개에 관한 법률,공공기관의 정보공개에 관한 법률=위임없음,
2100000276664,교육부 2030청년자문단 운영에 관한 규정,훈령,청년기본법 시행령,청년기본법 시행령=위임없음,
2100000183636,교육부 갈등관리 운영규정,훈령,공공기관의 갈등 예방과 해결에 관한 규정; 공공기관의 갈등 예방과 해결에 관한 시행규칙,공공기관의 갈등 예방과 해결에 관한 규정=위임없음; 공공기관의 갈등 예방과 해결에 관한 시행규칙=위임없음,
2000000024212,교육부 감사활동수칙,훈령,민법,민법=위임없음,
2100000283462,교육부 개방형 직위 지정 및 공모 직위 선발심사위원회 구성 및 운영에 관한 규정,예규,개방형 직위 및 공모 직위의 운영 등에 관한 규정; 국가공무원법; 책임운영기관의 설치ㆍ운영에 관한 법률,개방형 직위 및 공모 직위의 운영 등에 관한 규정=타부처위임확인; 국가공무원법=위임없음; 책임운영기관의 설치ㆍ운영에 관한 법률=위임없음,Y
2100000195701,교육부 공공데이터 품질관리 규정,훈령,공공데이터의 제공 및 이용활성화에 관한 법률; 공공데이터의 제공 및 이용 활성화에 관한 법률; 국가정보화 기본법,공공데이터의 제공 및 이용활성화에 관한 법률=위임없음; 공공데이터의 제공 및 이용 활성화에 관한 법률=위임없음; 국가정보화 기본법=위임없음,
2100000020841,교육부 공무원 등의 직무관련 범죄고발지침,훈령,형사소송법,형사소송법=위임없음,
2100000197814,(교육부) 국가연구개발성과 범부처 이어달리기 프로젝트 공통운영 지침,고시,과학기술기본법; 국가연구개발혁신법; 동법 시행령,과학기술기본법=위임없음; 국가연구개발혁신법=위임없음; 동법 시행령=위임없음,
2100000227602,교육부 국민 및 공무원 제안 운영규정,훈령,국민 제안 규정; 공무원 제안 규정; 교육부 정책실명제 운영규정,국민 제안 규정=위임없음; 공무원 제안 규정=위임없음; 교육부 정책실명제 운영규정=법령검색실패,
2100000244826,교육부 국제개발협력 평가지침,예규,국제개발협력기본법,국제개발협력기본법=위임없음,
2100000219852,교육부 규제심의 및 적극행정위원회 운영 규정,훈령,행정규제기본법; 적극행정 운영규정; 양성평등기본법; 청년기본법,행정규제기본법=위임없음; 적극행정 운영규정=위임없음; 양성평등기본법=위임없음; 청년기본법=위임없음,
2100000193561,교육부 기록관 운영규정,훈령,공공기록물 관리에 관한 법률; 행정 효율과 협업 촉진에 관한 규정,공공기록물 관리에 관한 법률=위임없음; 행정 효율과 협업 촉진에 관한 규정=위임없음,
2100000001469,교육부 기술(제안서) 평가업무 처리규정,훈령,국가를 당사자로 하는 계약에 관한 법률 시행령,국가를 당사자로 하는 계약에 관한 법률 시행령=위임없음,
2100000190022,교육부 민원사무 처리규정,훈령,민원 처리에 관한 법률,민원 처리에 관한 법률=위임없음,
2100000183593,교육부 법제업무 운영에 관한 훈령,훈령,법제업무 운영규정; 국회법,법제업무 운영규정=위임없음; 국회법=위임없음,
2100000060853,교육부 부정청탁 및 금품등 수수의 신고사무 처리지침,훈령,부정청탁 및 금품등 수수의 금지에 관한 법률; 부정청탁 및 금품등 수수의 금지에 관한 법률 시행령,부정청탁 및 금품등 수수의 금지에 관한 법률=위임없음; 부정청탁 및 금품등 수수의 금지에 관한 법률 시행령=위임없음,
2100000261436,교육부 사이버안전센터 운영규정,훈령,정보통신기반 보호법; 국가사이버안전관리규정; 전기통신기본법,정보통신기반 보호법=위임없음; 국가사이버안전관리규정=법령검색실패; 전기통신기본법=위임없음,
2100000251460,교육부 소관 기타공공기관 경영실적평가에 관한 규정,훈령,공공기관의 운영에 관한 법률,공공기관의 운영에 관한 법률=위임없음,
2100000280890,교육부 소관 행정권한의 위임 및 위탁에 관한 고시,고시,행정권한의 위임 및 위탁에 관한 규정,행정권한의 위임 및 위탁에 관한 규정=타부처위임확인,Y
2100000057890,교육부 소관 회계직공무원 관직지정에 관한 규정,훈령,국가회계법; 국고금관리법; 국가채권관리법; 국유재산법; 물품관리법; 국가를 당사자로 하는 계약에 관한 법률; 국고금관리법 시행령; 정부보관금 취급규칙; 정부유가증권 취급규정; 물품관리법시행령; 교육부 위임전결 규정,국가회계법=위임없음; 국고금관리법=위임없음; 국가채권관리법=위임없음; 국유재산법=위임없음; 물품관리법=위임없음; 국가를 당사자로 하는 계약에 관한 법률=위임없음; 국고금관리법 시행령=위임없음; 정부보관금 취급규칙=위임없음; 정부유가증권 취급규정=위임없음; 물품관리법시행령=위임없음; 교육부 위임전결 규정=법령검색실패,
2100000241120,교육부 시민감사관 설치 및 운영에 관한 규정,훈령,"교육부 시민감사관 설치 및 운영        ┃
┃에 관한 규정","교육부 시민감사관 설치 및 운영        ┃
┃에 관한 규정=법령검색실패",
2100000275354,교육부 시설사업 및 안전 심의위원회 운영규정,훈령,사회기반시설에 대한 민간투자법; 교육부 총사업비 관리규정,사회기반시설에 대한 민간투자법=위임없음; 교육부 총사업비 관리규정=법령검색실패,
2100000273324,교육부예산집행심의회운영규정,훈령,국가재정법시행령,국가재정법시행령=위임없음,
2100000005870,교육부와 그 소속기관의 회계관계공무원 재정보증 규정,훈령,국고금 관리법; 회계관계 직원 등의 책임에 관한 법률,국고금 관리법=위임없음; 회계관계 직원 등의 책임에 관한 법률=위임없음,
2100000277000,교육부 위임전결규정,훈령,"연구직 및 지도직   │
│                │등에 관한 규정; 행정권한의 위임 및 위탁에 관한 규정; 행정업무의 운영 및 혁신에 관한 규정","연구직 및 지도직   │
│                │등에 관한 규정=법령검색실패; 행정권한의 위임 및 위탁에 관한 규정=위임없음; 행정업무의 운영 및 혁신에 관한 규정=타부처위임확인",Y
2100000230726,교육부 자체평가위원회 운영규정,훈령,정부업무평가 기본법,정부업무평가 기본법=위임없음,
2100000270554,교육부 전문용어 표준화협의회 운영 규정,훈령,"국어기본법 시행령; 교육부 전문용어 ┃
┃표준화협의회 운영 규정","국어기본법 시행령=타부처위임확인; 교육부 전문용어 ┃
┃표준화협의회 운영 규정=법령검색실패",Y
2100000247320,교육부 정보공개 운영규정,훈령,공무원 징계령; 형사소송법; 통계법,공무원 징계령=위임없음; 형사소송법=위임없음; 통계법=위임없음,
2100000227604,교육부 정책실명제 운영규정,훈령,행정업무의 운영 및 혁신에 관한 규정; 교육부 국민 및 공무원 제안 운영규정; 행정기관 소속 위원회의 설치ㆍ운영에 관한 법률; 공공기관의 정보공개에 관한 법률,행정업무의 운영 및 혁신에 관한 규정=위임없음; 교육부 국민 및 공무원 제안 운영규정=법령검색실패; 행정기관 소속 위원회의 설치ㆍ운영에 관한 법률=위임없음; 공공기관의 정보공개에 관한 법률=위임없음,
