id,행정규칙일련번호,행정규칙명,종류,발령일자,근거주장범주_자동,주장법령_자동,제1조발췌,상세링크,T1_규범성격,T2_메모
T001,2100000255232,2022 개정 교육과정에 따른 초·중등학교 디지털교과서 국·검정 구분,고시,20250224,근거주장_없음,,"□ 국정도서[초등학교]<img id=""149458663""></img>　[중학교]<img id=""149459001""></img>　[고등학교]<img id=""149459025""></img>　□ 검정도서[초등학교]<img id=""149458665""></img>　[중학교]<img id=""149458667""></img>　[고등학교]<img id=""149459027""></img>",/DRF/lawService.do?OC=YOUR_OC&target=admrul&ID=2100000255232&type=HTML&mobileYn=,대외구속지향,교과용도서 국·검정 구분 지정 — 발행자·학교의 도서 사용 자격·기준에 관계(가이드 실례 '교과용도서 구분 고시' 유형).
T002,2100000249758,2025년 아시아태평양경제협력체 교육장관회의 준비기획단의 설치 및 운영에 관한 규정,훈령,20241125,근거주장_없음,,제1조(목적) 이 훈령은 2025년 아시아태평양경,/DRF/lawService.do?OC=YOUR_OC&target=admrul&ID=2100000249758&type=HTML&mobileYn=,내부관리,한시적 행사(APEC 교육장관회의) 준비기획단 설치·운영(가이드 실례).
T003,2100000268308,2025년 하반기 교육비특별회계로 설립한 출자·출연 기관 고시,고시,20251121,타부처법령_근거주장,훈령ㆍ예규 등의 발령 및 관리에 관한 규정,"○ 변경지정(출연기관 1개 기관)　재단법인 전남교육 꿈실현재단(구, 재단법인 전남미래교육재단)　○ 재검토기한　교육부장관은 이 고시에 대하여 「훈령ㆍ예규 등의 발령 및 관리에 관한 규정」에 따라 2025년 7월 1일 기준으로 매 3년이 되는 시점(매 3년째의 6월 30일까지를 말한다)마다 그 타당성을 검토하여 개선 등의 조치를 하여야 한다.",/DRF/lawService.do?OC=YOUR_OC&target=admrul&ID=2100000268308&type=HTML&mobileYn=,대외구속지향,지방자치단체 출자·출연기관법 적용대상 기관의 지정 고시 — 외부 법인(재단)의 법적 지위와 규제 적용 여부를 좌우하는 지정 행위.
T004,2100000269822,2026년 교육급여의 선정기준 및 최저보장수준,고시,20251217,타부처법령_근거주장,국민기초생활 보장법,"1. 교육급여의 선정기준 및 최저보장수준　「국민기초생활 보장법」 제6조 및 제12조제1항과 제3항, 제12조의2에 따른 ’교육급여의 선정기준 및 최저보장수준’을 다음과 같이 정한다.　1) 선정기준<img id=""159311793""></img>* 8인 이상 가구의 교육급여 선정기준: 1인 증가시마다 479,599원씩 증가(8인가구: 5,237,174원)※ 「국민기초생활 보장법」 제12조의2에 따라 부양의무자 기준은 적용하지 아니함　2) 최저보장수준　선정기준에 해당하는 초ㆍ중학생 교육활동지원비, 고등학생 교육활동지원비ㆍ교과서ㆍ입학금 및",/DRF/lawService.do?OC=YOUR_OC&target=admrul&ID=2100000269822&type=HTML&mobileYn=,대외구속지향,교육급여(수익적 급부)의 선정기준·최저보장수준 — 국민의 수급 요건·기준(국민기초생활보장법 위임 주장).
T005,2100000273408,2026년도 누리과정 부담비용 고시,고시,20260120,교육부법령_근거주장,유아교육법; 훈령ㆍ예규 등의 발령 및 관리에 관한 규정,제1조(목적) 이 고시는 「유아교육법」 ,/DRF/lawService.do?OC=YOUR_OC&target=admrul&ID=2100000273408&type=HTML&mobileYn=,대외구속지향,누리과정 무상교육 부담비용(지원 단가) — 유치원·어린이집(사립 포함) 및 보호자에 대한 급부 기준.
T006,2100000280628,2026년 재외한국학교안전공제료 산정기준,고시,20251202,본문없음(별표전용),,,/DRF/lawService.do?OC=YOUR_OC&target=admrul&ID=2100000280628&type=HTML&mobileYn=,,
T007,2100000280608,2026년 학교안전공제료 산정기준,고시,20251202,본문없음(별표전용),,,/DRF/lawService.do?OC=YOUR_OC&target=admrul&ID=2100000280608&type=HTML&mobileYn=,,
T008,2100000245624,3~5세 누리과정 고시,고시,20240627,근거주장_없음,,"제1장 총론Ⅰ. 누리과정의 구성방향1. 추구하는 인간상　누리과정이 추구하는 인간상은 다음과 같다.　가. 건강한 사람　나. 자주적인 사람　다. 창의적인 사람　라. 감성이 풍부한 사람　마. 더불어 사는 사람2. 목적과 목표　누리과정의 목적은 유아가 놀이를 통해 심신의 건강과 조화로운 발달을 이루고 바른 인성과 민주 시민의 기초를 형성하는 데에 있다.　이를 실현하기 위한 목표는 다음과 같다.　가. 자신의 소중함을 알고, 건강하고 안전한 생활 습관을 기른다.　나. 자신의 일을 스스로 해결하는 기초능력을 기른다.　다. 호기심과 탐구심을 가지",/DRF/lawService.do?OC=YOUR_OC&target=admrul&ID=2100000245624&type=HTML&mobileYn=,대외구속지향,3~5세 공통 교육과정(가이드 실례) — 유치원·어린이집(사립 포함)의 교육내용 기준.
T009,2100000176796,교과용도서의 가격사정지침,예규,20190219,근거주장_없음,,"교과용도서의 가격사정 방법 중 재료비와 인쇄ㆍ제조비의 사정에 필요한 실무ㆍ기술적인 사항들을 명확히 하여, 정가사정에 있어 객관성을 유지하고자 다음과 같이 기준을 정함.　1. 재료비가. 종이 구입가격 : 국정 발행자 구입가격의 평균금액과 기획재정부에 전문가격조사기관으로 등록한 기관이 조사한 종이 가격 중 최저 가격을 적용한다.나. 롤지에 대한 단가 계산※ 롤지는 연수로 환산하여 가격사정1) 연당무게(kg) = 용지단위면적×용지중량×500매÷1,000(g)예) 0.788×1.091×75g×500매÷1,000g=32.210kg0.636×",/DRF/lawService.do?OC=YOUR_OC&target=admrul&ID=2100000176796&type=HTML&mobileYn=,대외구속지향,국정 교과용도서 정가 사정 기준 — 발행자(민간 출판사)에 대한 가격·대가 산정 기준.
T010,2100000072613,교원연수 이수실적의 기록 및 관리요령,예규,20161230,교육부법령_근거주장,교육공무원 승진규정,제1조(목적) 본 예규는 교원 등의 연수에 관한 규정 ,/DRF/lawService.do?OC=YOUR_OC&target=admrul&ID=2100000072613&type=HTML&mobileYn=,대외구속지향,신분관계 — 교원 연수 이수실적의 기록·관리(승진평정 자료 인정)로 교원 개인의 신분상 이익에 관계(교육공무원 승진규정 근거 주장).
