id,상위법령명,상위조문번호,상위조문제목,조문문장,위임표지어구,API_위임구분,자동추출_위임형식,대상유형,대상명,L1_위임인가,L2_위임된법형식,L3_확신도,L4_메모
G0004,지방교육자치에 관한 법률,32,교육기관의 설치,교육감은 그 소관 사무의 범위 안에서 필요한 때에는 대통령령 또는 조례로 정하는 바에 따라 교육기관을 설치할 수 있다.,조례로,위임자치법규,대통령령,자치법규,인천광역시교육청 행정기구 설치 조례,위임,조례,3,"선택적 병렬위임: 문언이 '대통령령 또는 조례' 두 형식을 모두 지정. 단일값 스키마 제약상 본 행의 페어링 대상(자치법규)에 대응하는 '조례'를 기재하되, 다중라벨 허용 시 정답은 {대통령령, 조례}. 자동추출('대통령령')은 병렬 표지 중 하나만 포착 — '또는' 접속 병렬위임 처리 로직 점검 필요. 동일 문장 G0107과 일관 처리."
G0006,평생교육법 시행령,77,권한의 위임ㆍ위탁,③ 교육감은 법 제44조제3항에 따라 다음 각 호의 권한을 조례로 정하는 바에 따라 소관 교육장에게 위임할 수 있다.,조례로,위임자치법규,조례,자치법규,전북특별자치도교육감 행정권한위임에 관한 조례,위임,조례,4,행정권한 위임의 근거규정. '조례로 정하는 바에 따라'가 위임할 권한의 범위·방식 규율을 조례에 맡기므로 규율권한 이전(위임)으로 판정 — 개별 처분권한 부여(인용)와 구별. 수임 규범이 정할 사항의 외연(각 호의 권한)이 문언에 특정되어 있음.
G0007,고등교육법,32,학생의 정원,대통령령으로 정하는,대통령령,시행령,대통령령,법령,고등교육법 시행령,위임,대통령령,4,"조문문장 절단(단편). 다만 '대통령령으로 정하는' 위임표지가 단편 내 명시 — 부분위임(요건·범위 일부)으로 위임 판정, 판단불가 아님. 원조문(고등교육법 §32)은 '대통령령으로 정하는 범위에서 학칙으로 정한다' 구조로, 대통령령이 정원 규율의 범위를 설정(학칙 위임 병존은 단편 밖이므로 판정 제외)."
G0008,초ㆍ중등교육법 시행령,59,의견 수렴 등,"① 국ㆍ공립학교에 두는 운영위원회는 다음 각 호의 어느 하나에 해당하는 사항을 심의하려는 경우 국립학교의 경우에는 학칙으로, 공립학교의 경우에는 시ㆍ도의 조례로 정하는 바에 따라 미리 학부모의 의견을 수렴해야 한다.",공립학교의 경우에는 시.도의 조례로,위임자치법규,조례,자치법규,경상남도립학교 운영위원회 운영 조례,위임,조례,4,"이원(분기) 위임: 국립=학칙(L2 스키마 외 형식), 공립=시·도 조례. 의견수렴 절차의 규율을 하위규범에 맡기는 절차적 위임. 본 행 대상(공립·조례) 분기 기준 '조례' 기재, 다중라벨 시 {학칙, 조례}."
G0009,학교용지 확보 등에 관한 특례법,5,학교용지부담금특별회계의 설치,5. 그 밖에 학교용지의 확보 등에 필요하거나 부담금을 적정하게 관리하기 위하여 필요한 사항으로 해당 시·도의 조례로 정하는 사항,조례로 정하는 사항,위임자치법규,조례,자치법규,울산광역시 학교용지부담금 등에 관한 조례,위임,조례,4,호(號) 단위 문장. '조례로 정하는 사항' — 부담금 관리 등 필요사항의 구체화를 조례에 개방하는 보충적 부분위임(개방조항). 부분위임도 위임으로 처리하는 경계규칙 적용.
G0012,교육공무원법,36,명예퇴직,사항은 대통령령으로,대통령령,시행령,대통령령,법령,국가공무원 명예퇴직수당 등 지급 규정,위임,대통령령,4,조문문장 절단. '사항은 대통령령으로 [정한다]' 문형의 위임표지 명백 — 명예퇴직수당 지급대상·지급액 등 보충사항의 전형적 대통령령 위임. 페어링 대상('국가공무원 명예퇴직수당 등 지급 규정'=대통령령)과 정합.
G0015,평생교육법 시행령,14,학습계좌의 운영,사항은 교육부령으로,교육부령,시행규칙,부령,법령,평생교육법 시행규칙,위임,부령,4,조문문장 절단. '사항은 교육부령으로 [정한다]' — 교육부령은 부령. 학습계좌 운영 세부사항의 시행규칙 위임. 자동추출 '부령' 일치.
G0018,교육시설 등의 안전 및 유지관리 등에 관한 법률,30,교육시설환경개선기금의 설치 등,④ 기금의 설치ㆍ운용에 관하여 필요한 사항은 조례로 정한다.,사항은 조례로,위임자치법규,조례,자치법규,강원특별자치도교육청 교육시설환경개선기금 설치 및 운용 조례,위임,조례,5,완전문장·전형문형: '기금의 설치·운용에 관하여 필요한 사항은 조례로 정한다' — 보충사항 전부위임형 조례 위임의 표준례.
G0021,영유아보육법,18,보육활동보호위원회의 설치ㆍ운영,"② 보육교직원의 보육 활동 보호에 관한 다음 각 호의 사항을 심의하기 위하여 시·도에 시·도보육활동보호위원회를 둔다. 다만, 시·도보육활동보호위원회는 그 기능을 담당하기에 적합한 다른 위원회가 있고 그 위원회의 위원이 제3항에 따른 자격을 갖춘 경우에는 시·도의 조례로 정하는 바에 따라 그 위원회가 시·도보육활동보호위원회의 기능을 대신할 수 있다.",조례로,위임자치법규,조례,자치법규,세종특별자치시 보육교직원 권익 보호 및 지원에 관한 조례,위임,조례,4,판정 초점은 단서의 '시·도의 조례로 정하는 바에 따라': 대체 위원회가 기능을 대신하기 위한 요건·절차의 규율을 조례에 위임. 본문(위원회 설치)은 직접규율이나 단서에 위임표지 존재하므로 문장 전체는 위임 판정.
G0023,교원의 지위 향상 및 교육활동 보호를 위한 특별법,5,학교 안전사고로부터의 보호,법률로 정한다,법률,시행규칙,,법령,학교안전사고 예방 및 보상에 관한 법률,인용,해당없음,4,"'따로 법률로 정한다' — 동위규범(법률)에 대한 입법유보 지시로서 하위규범에의 규율권한 이전이 아님(국가법령정보센터 원문 확인: 교원지위법 §5② '학교안전공제회에 관하여는 따로 법률로 정한다'). 학교안전법의 별도 제정을 예정한 조항. 하위규범 위임이 아니므로 L1 이분법상 잔여범주 '인용' 처리 — 코드북에 '동위규범 유보' 값 신설 검토 제안. API '시행규칙' 분류는 명백한 오류, 자동추출 공란은 오히려 정직한 무응답."
G0024,학교급식법 시행령,17,권한의 위임,"교육감은 법 제20조에 따라 법 제19조에 따른 출입·검사·수거 등, 법 제21조에 따른 행정처분 등의 요청 및 법 제25조에 따른 과태료 부과·징수권한을 조례로 정하는 바에 따라 교육장에게 위임할 수 있다.",조례로,위임자치법규,조례,자치법규,강원특별자치도교육감 행정권한 위임 조례,위임,조례,4,행정권한 위임 근거규정(G0006 동형): 위임의 방식·조건을 '조례로 정하는 바에 따라' 규율하게 하므로 위임 판정.
