id,상위법령명,상위조문번호,상위조문제목,조문문장,위임표지어구,API_위임구분,자동추출_위임형식,대상유형,대상명,L1_위임인가,L2_위임된법형식,L3_확신도,L4_메모
G0001,학교시설사업 촉진법,4,학교시설사업 시행계획의 승인 등,대통령령으로 정하는 경미한 사항을,대통령령,시행령,대통령령,법령,학교시설사업 촉진법 시행령,,,,
G0011,초ㆍ중등교육법 시행규칙,77,자율형 사립고등학교의 법인전입금기준,"2. 도 및 특별자치도에 있는 고등학교: 매년 학생으로부터 받은 수업료 및 입학금 총액의 3퍼센트 이상으로 하되, 구체적인 기준은 해당 도 및 특별자치도의 교육규칙으로 정할 것",특별자치도의 교육규칙으로,위임자치법규,조례,자치법규,강원특별자치도교육청 자율학교등 지정ㆍ운영에 관한 규칙,,,,
G0017,평생교육법,21,시ㆍ군ㆍ구평생학습관 등의 설치ㆍ운영 등,④ 제1항 및 제2항에 따른 평생학습관의 설치·운영 등에 필요한 사항은 해당 지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,인천광역시 영종구 평생교육진흥 조례,,,,
G0019,초ㆍ중등교육법 시행령,96,초등학교 졸업자와 동등의 학력인정,교육부령으로 정한다,교육부령,시행규칙,부령,법령,초ㆍ중등교육법 시행규칙,,,,
G0022,어린이ㆍ노인 및 장애인 보호구역의 지정 및 관리에 관한 규칙,2,정의,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,어린이가 자주 왕래하는 곳으로서 조례로,위임자치법규,조례,자치법규,창원시 어린이 통학로 교통안전을 위한 조례,,,,
G0025,학원의 설립ㆍ운영 및 과외교습에 관한 법률 시행령,17,교습비등조정위원회,⑥ 제1항부터 제5항까지에서 규정한 사항 외에 조정위원회의 구성·운영 등에 관한 구체적인 사항은 시·도 교육규칙으로 정한다.,교육규칙으로,위임자치법규,조례,자치법규,인천광역시 학원의 설립ㆍ운영 및 과외교습에 관한 조례 시행규칙,,,,
G0028,초ㆍ중등교육법 시행령,91,특성화고등학교 지정ㆍ운영위원회,② 제1항에 따른 특성화고등학교 지정·운영위원회의 구성 및 운영에 필요한 사항은 시·도 교육규칙으로 정한다.,교육규칙으로 정한다,위임자치법규,조례,자치법규,전라남도 특성화중ㆍ특수목적고ㆍ특성화고의 지정ㆍ운영 등에 관한 규칙,,,,
G0031,교육공무원법,23,인사관리의 전자화,대통령령으로 정한다,대통령령,시행규칙,대통령령,법령,교육공무원 인사기록 및 인사사무 처리 규칙,,,,
G0039,고등교육법,59,규제특례의 관리 및 감독 등,대통령령으로 정한다,대통령령,시행령,대통령령,법령,고등교육법 시행령,,,,
G0041,방송통신중학교 및 방송통신고등학교 설치기준령 시행규칙,10,수업료 등,"② 공립 방송통신중학교 및 방송통신고등학교의 수업료등은 특별시·광역시·특별자치시·도 및 특별자치도(이하 ""시·도""라 한다)의 조례로 정한다. 다만, 수업료등의 금액은 해당 시·도의 조례에 따라 정해진 공립 고등학교의 수업료등의 금액보다 적어야 한다.",조례로,위임자치법규,조례,자치법규,인천광역시 학교 수업료 및 입학금에 관한 조례,,,,
G0042,사립학교교직원 연금법,53,심사의 청구,필요한 사항은 대통령령으로,대통령령,시행령,대통령령,법령,사립학교교직원 연금법 시행령,,,,
G0048,방송통신중학교 및 방송통신고등학교 설치기준령,3,교육과정,"② 방송통신중학교와 방송통신고등학교의 교과에 관하여는 「초·중등교육법 시행령」 제43조를 준용한다. 이 경우 각 교과의 교수(敎授) 요지, 과목, 수업시간수, 그 밖에 학습활동에 관한 사항은 국립 방송통신중학교 및 방송통신고등학교는 교육부장관이 정하고, 공립 방송통신중학교 및 방송통신고등학교는 시·도의 교육규칙으로 정한다.",시.도의 교육규칙으로,위임자치법규,조례,자치법규,제주특별자치도 방송통신중학교 및 방송통신고등학교 운영 규칙,,,,
G0049,영유아보육법 시행규칙,24,국공립어린이집의 운영위탁,"⑨ 어린이집의 운영 위탁에 관한 구체적인 사항은 국립어린이집의 경우 교육부장관이 정하고, 공립어린이집의 경우 지방자치단체의 조례로 정한다.",조례로,위임자치법규,조례,자치법규,남해군 영유아 보육 조례,,,,
G0050,공교육 정상화 촉진 및 선행교육 규제에 관한 특별법,15,이의신청,대통령령으로 정하는,대통령령,시행령,대통령령,법령,공교육 정상화 촉진 및 선행교육 규제에 관한 특별법 시행령,,,,
G0053,직업교육훈련 촉진법,7,취업지원센터 설치ㆍ운영,④ 시ㆍ도교육감이 설치한 취업지원센터의 운영 등에 필요한 사항은 시ㆍ도의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,대전광역시교육청 취업지원센터 설치ㆍ운영 조례,,,,
G0055,교육환경 보호에 관한 법률,5,시ㆍ도교육환경보호위원회 등,대통령령으로 정한다,대통령령,시행령,대통령령,법령,교육환경 보호에 관한 법률 시행령,,,,
G0062,영유아보육법 시행규칙,24,국공립어린이집의 운영위탁,"⑨ 어린이집의 운영 위탁에 관한 구체적인 사항은 국립어린이집의 경우 교육부장관이 정하고, 공립어린이집의 경우 지방자치단체의 조례로 정한다.",조례로,위임자치법규,조례,자치법규,고흥군 영유아 보육 지원 조례,,,,
G0065,평생교육법,31,학교형태의 평생교육시설,⑥ 지방자치단체는 해당 지방자치단체의 조례로 정하는 바에 따라 예산의 범위 내에서 「초ㆍ중등교육법」 제2조의 학교에 준하여 제2항에 따른 학력인정 평생교육시설에 필요한 보조금을 교부하거나 그 밖의 지원을 할 수 있다.,조례로,위임자치법규,조례,자치법규,인천광역시교육청 학력인정 평생교육시설 지원에 관한 조례,,,,
G0067,어린이ㆍ노인 및 장애인 보호구역의 지정 및 관리에 관한 규칙,2,정의,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,어린이가 자주 왕래하는 곳으로서 조례로,위임자치법규,조례,자치법규,울산광역시 동구 어린이 통학로 교통안전을 위한 조례,,,,
G0070,지방교육자치에 관한 법률,30,보조기관,"⑤교육감 소속하에 보조기관을 두되, 그 설치·운영 등에 관하여 필요한 사항은 대통령령으로 정한 범위 안에서 조례로 정한다.",조례로,위임자치법규,대통령령,자치법규,경기도교육청 행정기구 설치조례,,,,
G0072,대안교육기관에 관한 법률 시행령,7,대안교육기관에 대한 경비 지원,④ 제1항부터 제3항까지의 규정에서 정한 사항 외에 대안교육기관에 대한 경비 지원에 필요한 사항은 해당 지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,공주시 대안교육기관 지원 조례,,,,
G0076,한국장학재단 설립 등에 관한 법률,38,장학금계정의 용도 등,대통령령으로 정하는 사항,대통령령,시행령,대통령령,법령,한국장학재단 설립 등에 관한 법률 시행령,,,,
G0077,지방교육행정기관의 행정기구와 정원기준 등에 관한 규정,15,정원의 관리,① 교육감은 조직 간 균형 있고 합리적인 정원관리를 위하여 지방공무원의 종류별ㆍ직급별 정원책정기준을 해당 시ㆍ도의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,경기도교육감 소속 지방공무원 정원 조례,,,,
G0078,대안교육기관에 관한 법률 시행령,7,대안교육기관에 대한 경비 지원,④ 제1항부터 제3항까지의 규정에서 정한 사항 외에 대안교육기관에 대한 경비 지원에 필요한 사항은 해당 지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,부산광역시 금정구 학교 밖 청소년 지원 조례,,,,
