판독순위,tier,score,source,id,사건번호,선고일자,법원,사건명,매칭쿼리,강한신호,판시사항,요지,링크,O1_무효판단,O2_결함유형,O3_대상규정명,O4_대상규정일련번호,O5_메모,O6_판시유형,O7_대상층위,O8_코퍼스관계
1,A,17,prec,226343,2017두66541,2020.05.28,대법원,공급자등록취소무효확인등청구,대외적 구속력 고시; 대외적 구속력,"위임\s*없,대외적\s*구속력이?\s*(없|인정되지),효력이?\s*(없|인정),무효","  [1] 공공기관의 운영에 관한 법률 제39조 제2항과 그 하위법령에 따른 입찰참가자격제한 조치가 행정처분에 해당하는지 여부(적극) 및 한국수력원자력 주식회사가 법령에 따라 행정처분권한을 위임받은 공공기관으로서 행정청에 해당하는지 여부(적극)   [2] 행정기관이 소속 공무원이나 하급행정기관에 대하여 세부적인 업무처리절차나 법령의 해석·적용 기준을 정해 주는 ‘행정규칙’이 대외적으로 국민이나 법원을 구속하는 효력이 있는지 여부(원칙적 소극) 및 행정기관의 재량에 속하는 사항에 관한 행정규칙의 경우, 법원은 이를 존중해야 하는지 여부(원칙적 적극) / 상위법령이나 법의 일반원칙을 위반한 행정규칙의 효력(당연무효) 및 이 경우 법원이 위 행정규칙에 따라 행정기관이 한 조치의 당부를 판단하는 방법   [3] 한","  [1] 행정절차에 관한 일반법인 행정절차법은 행정청을 “행정에 관한 의사를 결정하여 표시하는 국가 또는 지방자치단체의 기관”, “그 밖에 법령 또는 자치법규에 따라 행정권한을 가지고 있거나 위임 또는 위탁받은 공공단체 또는 그 기관이나 사인(私人)”이라고 정의하고 있고(제2조 제1호), 행정소송법도 “이 법을 적용함에 있어서 행정청에는 법령에 의하여 행정권한의 위임 또는 위탁을 받은 행정기관, 공공단체 및 그 기관 또는 사인이 포함된다.”라고 규정하고 있다(제2조 제2항). 공공기관의 운영에 관한 법률(이하 ‘공공기관운영법’이라 한다) 제39조는 공기업·준정부기관은 공정한 경쟁이나 계약의 적정한 이행을 해칠 것이 명백하다고 판단되는 사람·법인 또는 단체 등에 대하여 2년의 범위 내에서 일정 기간 입찰참가",/DRF/lawService.do?OC=YOUR_OC&target=prec&ID=226343&type=HTML&mobileYn=,Y,D1,한국수력원자력(주) 공급자관리지침 중 공급자등록취소 및 그에 따른 거래제한(등록제한) 조항,,상위 법령(공공기관운영법 제39조 및 계약사무규칙)의 구체적 위임 없이 정한 것으로 대외적 구속력 없는 내부규정이라고 판시. 공기업 내부지침으로 정부 행정규칙 코퍼스 대상 아님(코퍼스 범위외).,구속력부정,기관내부규정(공기업),범위외
2,A,15,prec,164521,2010다72076,2012.07.05,대법원,손해배상(기)등,대외적 구속력 고시; 재위임; 대외적 구속력,"위임범위를?\s*벗어,위임의?\s*한계,효력이?\s*(없|인정)"," [1] 상위법령에서 세부사항 등을 시행규칙으로 정하도록 위임하였음에도 이를 고시 등 행정규칙으로 정한 경우, 대외적 구속력을 가지는 법규명령으로서 효력을 인정할 수 있는지 여부(소극)   [2] 구 주택건설촉진법 제33조의6 제6항의 위임에 의하여 건설교통부장관의 ‘고시’ 형식으로 되어 있는 ‘주택건설공사 감리비지급기준’이 이를 건설교통부령으로 정하도록 한 구 주택법이 시행된 이후에도 대외적인 구속력이 있는 법규명령으로서 효력이 있는지 여부(소극)   [3] 건설교통부장관 고시인 ‘주택건설공사 감리비지급기준’이 ‘집행명령’에 해당하는지 여부(소극)   [4] 구 주택건설촉진법하에서 상위법령의 위임을 받아 제정된 행정규칙 등이 2003. 5. 29. 법률 제6916호로 전부 개정된 주택법 상위법령의 위임한계"," [1] 법령의 규정이 특정 행정기관에게 법령 내용의 구체적 사항을 정할 수 있는 권한을 부여하면서 권한행사의 절차나 방법을 특정하지 아니한 경우에는 수임 행정기관은 행정규칙이나 규정 형식으로 법령 내용이 될 사항을 구체적으로 정할 수 있다. 이 경우 행정규칙 등은 당해 법령의 위임한계를 벗어나지 않는 한 대외적 구속력이 있는 법규명령으로서 효력을 가지게 되지만, 이는 행정규칙이 갖는 일반적 효력이 아니라 행정기관에 법령의 구체적 내용을 보충할 권한을 부여한 법령 규정의 효력에 근거하여 예외적으로 인정되는 것이다. 따라서 그 행정규칙이나 규정이 상위법령의 위임범위를 벗어난 경우에는 법규명령으로서 대외적 구속력을 인정할 여지는 없다. 이는 행정규칙이나 규정 ‘내용’이 위임범위를 벗어난 경우뿐 아니라 상위법령의",/DRF/lawService.do?OC=YOUR_OC&target=prec&ID=164521&type=HTML&mobileYn=,Y,D2,건설교통부 고시 '주택건설공사 감리비지급기준',,"구 주택건설촉진법하에서는 법규명령 효력이 인정되었으나 전부개정 주택법(2003)이 지급기준을 건설교통부'령'(시행규칙)으로 정하도록 법형식을 지정한 이후에는 고시 형식으로는 법규명령 효력 불인정(D2 전형례, 가이드 인용 판례). 구 고시 폐지·실효 — 현행 부존재.",구속력부정,행정규칙(고시),폐지·실효
3,A,14,prec,207526,2016다276177,2019.05.30,대법원,마일리지청구의소,대외적 구속력 고시; 재위임; 대외적 구속력; 법규명령 행정규칙 효력,"위임의?\s*한계,대외적\s*구속력이?\s*(없|인정되지),재위임","[1] 약관의 규제에 관한 법률 제3조 제3항에 따라 설명의무의 대상이 되는 약관의 ‘중요한 내용’의 의미 / 약관에 정하여진 사항이 거래상 일반적이고 공통된 것이어서 고객이 별도의 설명 없이도 충분히 예상할 수 있거나 이미 법령에 의하여 정하여진 것을 되풀이하거나 부연하는 정도에 불과한 경우, 사업자에게 설명의무가 있는지 여부(소극) 및 설명의무를 면제하는 사유에 해당하는지 판단하는 기준 / 여기에서 말하는 ‘법령’의 의미 및 행정규칙이 이에 포함되는지 여부(원칙적 소극) / 약관 조항에서 대외적 구속력이 인정되지 않는 행정규칙으로서의 고시의 내용을 되풀이하거나 부연하고 있다는 이유만으로 사업자의 설명의무가 면제되는지 여부(소극) [2] 행정 각부의 장이 정하는 특정 고시가 법령에 근거를 두었으나 규정 내","[1] 약관의 규제에 관한 법률 제3조 제3항 전문은 “사업자는 약관에 정하여져 있는 중요한 내용을 고객이 이해할 수 있도록 설명하여야 한다.”라고 정하여 사업자에게 약관의 중요한 내용에 대하여 구체적이고 상세한 설명의무를 부과하고 있고, 같은 조 제4항은 이러한 약관의 설명의무를 위반하여 계약을 체결한 때에는 약관의 내용을 계약의 내용으로 주장할 수 없도록 하고 있다. 설명의무의 대상이 되는 ‘중요한 내용’은 사회통념에 비추어 고객이 계약체결의 여부나 대가를 결정하는 데 직접적인 영향을 미칠 수 있는 사항을 말한다. 사업자에게 약관의 명시·설명의무를 요구하는 것은 어디까지나 고객이 알지 못하는 가운데 약관의 중요한 사항이 계약 내용으로 되어 고객이 예측하지 못한 불이익을 받게 되는 것을 피하고자 하는 데 ",/DRF/lawService.do?OC=YOUR_OC&target=prec&ID=207526&type=HTML&mobileYn=,Y,기타,금융위원회 고시 '여신전문금융업감독규정' 중 신용카드 부가서비스 변경에 관한 조항('이 사건 고시규정'),,여신전문금융업법·시행령의 위임 범위를 벗어나 법규명령으로서 대외적 구속력 불인정(2019.5.30.). 가이드 O2표는 본 판결을 재위임(D3) 계열 예시로 들지만 판시상 결함은 위임범위의 내용적 일탈이어서 '기타'로 기재함. 금융위 소관 — 교육부 코퍼스 무관.,구속력부정,행정규칙(고시),타부처현행
4,A,14,detc,134535,2001헌라1,2002.10.31,,강남구청과 대통령간의 권한쟁의,행정규칙 위임 무효; 재위임,"위임의?\s*한계,재위임",1.헌법 제117조 제1항이 보장하는 지방자치권한의 내용과 한계2.헌법 제117조 제1항에서 규정하고 있는 ‘법령’의 의미3.시간외근무수당의 지급기준·지급방법 등에 관하여 필요한 사항은 행정자치부장관이 정하는 범위 안에서 지방자치단체의 장이 정하도록 규정하고 있는 지방공무원수당등에관한규정 제15조 제4항(이하 ‘문제조항’이라 한다)이 헌법 제117조 제1항에 위반되는지 여부(소극)4.법률에서 위임받은 것을 재위임하는 것의 한계5.문제조항이 재위임의 한계를 일탈한 것인지 여부(소극)6.문제조항이 청구인의 헌법상 자치권한을 본질적으로 침해한 것인지 여부(소극)7.지방자치법 제9조 제2항 제1호 마목 및 사목에서 규정하는 자치권한의 내용과 한계8.문제조항이 청구인의 위 지방자치법상 자치권한을 침해한 것인지 여부(,"1.헌법 제117조 제1항은 ""지방자치단체는 주민의 복리에 관한 사무를 처리하고 재산을 관리하며, 법령의 범위안에서 자치에 관한 규정을 제정할 수 있다""고 규정하여 지방자치제도의 보장과 지방자치단체의 자치권을 규정하고 있다. 헌법이 규정하는 이러한 자치권 가운데에는 자치에 관한 규정을 스스로 제정할 수 있는 자치입법권은 물론이고 그밖에 그 소속 공무원에 대한 인사와 처우를 스스로 결정하고 이에 관련된 예산을 스스로 편성하여 집행하는 권한이 성질상 당연히 포함된다. 다만, 이러한 헌법상의 자치권의 범위는 법령에 의하여 형성되고 제한된다. 헌법도 제117조 제1항에서 법령의 범위안에서 자치에 관한 규정을 제정할 수 있다고 하였고 제 118조 제2항에서 지방자치단체의 조직과 운영에 관한 사항은 법률로 정한다고 규",,N,,,,헌재 권한쟁의 기각: 지방공무원수당등에관한규정(대통령령) 제15조 제4항이 재위임 한계를 일탈하지 않았고 자치권 침해 아님(유효). 재위임 법리 설시 있음(false positive 대조군).,,,
5,A,12,detc,147228,2015헌마853,2018.05.31,,지방자치단체를 당사자로 하는 계약에 관한 법률 시행령 제30조 제5항 등 위헌확인,대외적 구속력 예규,"위임의?\s*한계,대외적\s*구속력이?\s*(없|인정되지)","1. 지방자치단체가 체결하는 수의계약과 관련, 계약이행능력 등 행정자치부장관이 정하는 기준에 따라 계약상대자를 결정하도록 규정한 구 ‘지방자치단체를 당사자로 하는 계약에 관한 법률 시행령’(2014. 11. 19. 대통령령 제25751호로 개정되고, 2017. 7. 26. 대통령령 제28211호로 개정되기 전의 것) 제30조 제5항(이하 ‘이 사건 시행령조항’이라 한다)의 기본권침해의 직접성이 인정되는지 여부(소극) 2. 계약의 체결이행 등과 관련한 금품 제공 등으로 부정당업자 제재 처분을 받은 자를 일정 기간 위와 같은 수의계약의 계약상대자에서 배제하도록 규정한 구 ‘지방자치단체 입찰 및 계약 집행기준’(2016. 11. 14. 행정자치부예규 제70호로 개정되고, 2017. 7. 26. 행정안전부예규 제1","1. 이 사건 시행령조항은 행정자치부장관에게 하위규범을 제정시행할 권한을 부여하고 있을 뿐 청구인에 대하여 법적 효과를 발생시키는 내용을 직접 규정하고 있지 아니하므로 기본권 침해의 직접성이 인정되지 아니한다.2. 이 사건 예규조항은 상위법령의 위임에 따라 ‘지방자치단체를 당사자로 하는 계약에 관한 법률’(이하 ‘지방계약법’이라 한다)상 수의계약의 계약상대자 선정 기준을 구체화한 것이고, 국가가 일방적으로 정한 기준에 따라 지방자치단체와 수의계약을 체결할 자격을 박탈하는 것은 상대방의 법적 지위에 영향을 미치므로, 이 사건 예규조항은 헌법소원의 대상이 되는 공권력의 행사에 해당한다.3. 지방계약법 제9조 제3항의 위임에 따라 이 사건 시행령조항이 행정자치부장관이 정하도록 이 사건 예규조항에 위임하고 있는 ‘",,N,,,,헌재 2018.5.31. 기각: '지방자치단체 입찰 및 계약 집행기준'(행정자치부예규 제70호) 제5장 [별표 1] 예규조항은 공권력행사성 인정 후 법률유보원칙 위반 아님(유효). 시행령조항은 직접성 부정 각하. 강일원 재판관의 반대(위헌 취지) 의견 있음.,,,
6,A,11,prec,114665,95누18567,1996.12.23,대법원,양도소득세등부과처분취소,대외적 구속력 훈령,"위임의?\s*한계,무효"," [1]           구 재산제세조사사무규정 제72조 제3항 제5호가 법규명령으로서 유효한지 여부(적극)           [2] [1]항의 규정에 해당하는 거래의 경우, 과세표준 확정신고 등이 없어도 사실심의 변론종결일까지 입증된 실지거래가액을 적용할 수 있는지 여부(적극)  ","   [1] 구 재산제세조사사무규정(국세청훈령 제980호) 제72조 제3항은 비록 그 형식은 행정규칙으로 되어 있으나,           구 소득세법시행령(1989. 8. 1. 대통령령 제12767호로 개정되기 전의 것) 제170조 제4항 제2호의 위임에 따라 그 규정의 내용을 보충하는 기능을 가지면서 그와 결합하여 대외적인 구속력이 있는 법규명령으로서의 효력을 가지는 것이어서, 그 내용이 위 법령의 위임한계를 벗어난 것이라는 등의 특별한 사정이 없는 한 무효라고 볼 수 없어 양도소득세를 과세함에 있어 법령상의 근거가 되는 것이고, 특히           같은 항 제5호는 그 규정내용이 명확하고 법령의 위임한계를 벗어난 것으로 볼 수 없어 유효하다.             [2] 구 재산제세조사사무규정(국세청",/DRF/lawService.do?OC=YOUR_OC&target=prec&ID=114665&type=HTML&mobileYn=,N,,,,구 재산제세조사사무규정(국세청훈령 제980호) 제72조 제3항 제5호: 법령보충적 행정규칙으로 법규명령 효력 인정·유효.,,,
7,A,11,detc,134567,2001헌마894,2004.01.29,,정보통신망이용촉진및정보보호등에관한법률 제42조 등 위헌확인,대외적 구속력 고시; 재위임,"위임범위를?\s*벗어,재위임",1.‘청소년유해매체물의 표시방법’에 관한 정보통신부고시가 헌법소원의 대상이 된다고 본 사례2.전기통신사업자의 전기통신역무를 이용하여 일반에게 공개를 목적으로 정보를 제공하는 자 중 청소년보호법상의 청소년유해매체물 제공자는 대통령령이 정하는 표시방법에 따라 청소년유해매체물임을 표시하도록 한 정보통신망이용촉진및정보보호등에관한법률 제42조가 포괄위임입법금지 및 죄형법정주의의 명확성 원칙에 위배되는 여부(소극)3.동법시행령 제21조 제2항이 인터넷을 이용하여 정보를 제공하는 자의 경우 기호·부호·문자 또는 숫자를 사용하여 청소년유해매체물임을 나타낼 수 있는 전자적 표시도 함께 하도록 규정한 것이 동법 제42조의 위임범위 내인지 여부(적극)4.정보통신부장관이 정보유형 등을 고려하여 위 전자적 표시의 구체적 방법을 정,"1.‘청소년유해매체물의 표시방법’에 관한 정보통신부고시는 청소년유해매체물을 제공하려는 자가 하여야 할 전자적 표시의 내용을 정하고 있는데, 이는 정보통신망이용촉진및정보보호등에관한법률 제42조 및 동법시행령 제21조 제2항, 제3항의 위임규정에 의하여 제정된 것으로서 국민의 기본권을 제한하는 것인바 상위법령과 결합하여 대외적 구속력을 갖는 법규명령으로 기능하고 있는 것이므로 헌법소원의 대상이 된다.2.정보통신망이용촉진및정보보호등에관한법률 제42조에 따라 대통령령으로 정해질 표시방법은 청소년을 해당 유해정보로부터 보호하기 위하여 청소년의 이용을 억제하기 위한 취지의 표시이거나 그 밖에 인터넷과 같은 매체의 특성에 맞춰 해당 정보에 대한 청소년의 이용을 억제하기 위한 표시가 될 것이라는 점이 예측될 수 있다. 위",,N,,,,"헌재: 정보통신부고시 '청소년유해매체물의 표시방법'은 법령보충적 고시로 헌법소원 대상성 인정, 시행령 조항은 법률의 위임범위 내이고 고시 재위임도 합헌(기각).",,,
8,A,10,prec,203648,91누5334,1992.01.21,대법원,양도소득세등부과처분취소,대외적 구속력 훈령,"위임의?\s*한계,무효","가. 특정일에 임야를 매수하였다는 원고의 자백이 자산의 취득 또는 양도시기에 관한 소득세법 제27조 및 같은법시행령 제53조 제1항의 규정에 비추어 임야의 매매계약체결일에 관한 것이 아니라 대금청산일, 즉 임야의 취득시기에 관한 것으로 봄이 상당하다고 한 사례 나. 재산제세조사사무처리규정(국세청훈령 제980호) 제72조 제3항 제6호가 무효의 규정인지 여부 및 위 규정의 해석 다. 서증의 작성 경위와 서증의 내용 등에 관한 심리를 미진한 채 원고가 임야 수 필지를 10여 명에게 양도하였다고 인정한 원심판결을 채증법칙 위배나 심리미진의 위법으로 파기한 사례 ","가. 원고가 변론기일에서 진술한 소장을 통하여 자신이 1986.12.16. 이 사건 임야를 매수하였다고 선행자백을 하였고, 피고가 변론기일에서 진술한 준비서면을 통하여 원고의 위 자백을 원용하였다면, 소득세법 제27조 및 같은법시행령 제53조 제1항에 자산의 양도차익을 계산함에 있어서 그 취득시기 및 양도시기는 같은법시행령 제53조 제1항 각호의 경우를 제외하고는 원칙적으로 당해 자산의 대금을 청산한 날로 하도록 규정되어 있으므로, 원고의 위 자백은 이 사건 임야의 매매계약체결일에 관한 것이 아니라 대금청산일, 즉 임야의 취득시기에 관한 것으로 봄이 상당하다고 한 사례. 나. 1989.8.1. 대통령령 제12767호로 개정되기 전의 소득세법시행령 제170조 제4항은 1990.12.31. 법률 제4281호로 ",/DRF/lawService.do?OC=YOUR_OC&target=prec&ID=203648&type=HTML&mobileYn=,N,,,,재산제세조사사무처리규정(국세청훈령 제980호) 제72조 제3항 제6호는 무효 아님(유효)·양도자 개인별 지분 규모 기준으로 해석. 파기환송 부분은 채증법칙 위배(사실인정) 사유.,,,
9,A,9,prec,176662,2013두14238,2015.01.15,대법원,건축불허가처분취소,대외적 구속력 고시; 재위임; 대외적 구속력,"위임의?\s*한계,재위임",위임명령의 한계 및 그 판단 기준 / 법률에서 위임받은 사항에 관한 재위임의 한계 / 조례가 지방자치법 제22조 단서에 따라 주민의 권리제한 또는 의무부과에 관한 사항을 법률로부터 위임받은 후 다시 지방자치단체장이 정하는 규칙이나 고시 등에 재위임하는 경우에도 마찬가지 법리가 적용되는지 여부(적극) ,"  위임명령은 법률이나 상위명령에서 구체적으로 범위를 정한 개별적인 위임이 있을 때에 가능하고, 여기에서 구체적인 위임의 범위는 규제하고자 하는 대상의 종류와 성격에 따라 달라지는 것이어서 일률적 기준을 정할 수는 없지만, 적어도 위임명령에 규정될 내용 및 범위의 기본사항이 구체적으로 규정되어 있어서 누구라도 당해 법률이나 상위법령으로부터 위임명령에 규정될 내용의 대강을 예측할 수 있어야 하나, 이 경우 그 예측가능성의 유무는 당해 위임조항 하나만을 가지고 판단할 것이 아니라 그 위임조항이 속한 법률의 전반적인 체계와 취지 및 목적, 당해 위임조항의 규정형식과 내용 및 관련 법규를 유기적·체계적으로 종합하여 판단하여야 하며, 나아가 각 규제 대상의 성질에 따라 구체적·개별적으로 검토함을 요한다.   또한 법",/DRF/lawService.do?OC=YOUR_OC&target=prec&ID=176662&type=HTML&mobileYn=,N,,,,가축분뇨법 제8조 제1항→조례→군수 고시의 재위임 구조가 포괄위임·복위임금지에 반하지 않는다고 보아 조례조항·고시 유효(D3 계열의 false positive 대조군).,,,
10,A,9,prec,210431,2013두20011,2019.10.31,대법원,공무원지위확인,대외적 구속력,"효력이?\s*(없|인정),무효","   [1] 남녀고용평등과 일·가정 양립 지원에 관한 법률 제11조 제1항, 근로기준법 제6조에서 말하는 ‘남녀의 차별’의 의미 및 사업주나 사용자가 근로자를 합리적인 이유 없이 성별을 이유로 부당하게 차별대우를 하도록 정한 규정의 효력(무효)    [2] 국가기관과 공무원 간의 공법상 근무관계에도 고용관계에서 양성평등을 규정한 남녀고용평등과 일·가정 양립 지원에 관한 법률 제11조 제1항과 근로기준법 제6조가 적용되는지 여부(원칙적 적극)    [3] 여성 근로자들이 전부 또는 다수를 차지하는 분야의 정년을 다른 분야의 정년보다 낮게 정한 것이 여성에 대한 불합리한 차별에 해당하는지 판단하는 방법    [4] 상급행정기관이 소속 공무원이나 하급행정기관에 대하여 세부적인 업무처리절차나 법령의 해석·적용 기준","   [1] 남녀고용평등과 일·가정 양립 지원에 관한 법률(이하 ‘남녀고용평등법’이라 한다) 제11조 제1항, 근로기준법 제6조에서 말하는 ‘남녀의 차별’은 합리적인 이유 없이 남성 또는 여성이라는 이유만으로 부당하게 차별대우하는 것을 의미한다. 사업주나 사용자가 근로자를 합리적인 이유 없이 성별을 이유로 부당하게 차별대우를 하도록 정한 규정은, 규정의 형식을 불문하고 강행규정인 남녀고용평등법 제11조 제1항과 근로기준법 제6조에 위반되어 무효라고 보아야 한다.     [2] 국가나 국가기관 또는 국가조직의 일부는 기본권의 수범자로서 국민의 기본권을 보호하고 실현해야 할 책임과 의무를 지니고 있는 점, 공무원도 임금을 목적으로 근로를 제공하는 근로기준법상의 근로자인 점 등을 고려하면, 공무원 관련 법률에 특",/DRF/lawService.do?OC=YOUR_OC&target=prec&ID=210431&type=HTML&mobileYn=,Y,기타,국가정보원 내부 규정 중 전산사식 분야 계약직직원 근무상한연령(만 43세)을 정한 '이 사건 연령 규정',,"위임 결함이 아니라 강행법규(남녀고용평등법 제11조 제1항, 근로기준법 제6조) 위반으로 규정 형식을 불문하고 무효라고 판시(2019.10.31. 파기환송). 국정원 내부규정 — 코퍼스 범위외(국정원 내규).",무효선언,기관내부규정(국정원),범위외
