gold_id,panel_id,n_candidates
G0001,P06794,1
G0002,P00885,2
G0003,P01311,1
G0004,P03354,1
G0005,P05113,1
G0006,P06335,1
G0007,P00101,7
G0008,P04432,1
G0009,P06913,1
G0010,P05034,1
G0011,P04962,1
G0012,P00585,12
G0013,P00493,1
G0014,P03315,1
G0015,P06285,4
G0016,P04278,1
G0017,P05778,1
G0018,P00842,1
G0019,P04847,19
G0020,P02076,5
G0021,P02064,1
G0022,P01881,1
G0023,P00336,13
G0024,P06672,1
G0025,P07374,1
G0026,P02433,1
G0027,P05296,1
G0028,P04796,1
G0029,P02839,1
G0030,P02360,1
G0031,P00557,1
G0032,P06856,4
G0033,P06133,1
G0034,P03699,2
G0035,P03812,1
G0036,P00379,5
G0037,P01819,7
G0038,P07312,1
G0039,P00178,10
G0040,P01194,1
G0041,P01441,2
G0042,P01562,16
G0043,P06447,1
G0044,P07443,1
G0045,P06110,1
G0046,P04190,1
G0047,P02429,1
G0048,P01397,1
G0049,P02328,1
G0050,P00258,1
G0051,P05045,1
G0052,P03624,1
G0053,P03931,1
G0054,P02772,1
G0055,P00871,11
G0056,P04363,1
G0057,P01469,4
G0058,P00282,1
G0059,P01831,1
G0060,P02580,2
G0061,P02688,1
G0062,P02365,1
G0063,P02871,4
G0064,P01195,1
G0065,P06160,1
G0066,P06822,3
G0067,P01903,1
G0068,P03452,1
G0069,P07099,1
G0070,P03343,1
G0071,P04887,18
G0072,P01253,1
G0073,P06775,1
G0074,P01849,1
G0075,P00786,1
G0076,P07523,1
G0077,P03652,1
G0078,P01287,1
G0079,P07121,1
G0080,P05880,1
G0081,P07325,1
G0082,P03912,1
G0083,P03283,1
G0084,P06616,1
G0085,P04609,1
G0086,P00469,1
G0087,P06971,1
G0088,P05324,1
G0089,P05256,1
G0090,P03518,2
G0091,P01691,1
G0092,P05498,1
G0093,P07455,1
G0094,P05676,1
G0095,P07456,1
G0096,P00088,1
G0097,P06984,1
G0098,P06813,1
G0099,P07110,1
G0100,P04193,1
G0101,P00943,1
G0102,P07543,1
G0103,P02153,1
G0104,P02238,1
G0105,P04848,18
G0106,P04368,1
G0107,P03365,1
G0108,P03932,1
G0109,P04437,1
G0110,P06562,1
G0111,P00412,1
G0112,P02163,1
G0113,P03286,1
G0114,P02044,5
G0115,P05092,1
G0116,P06501,1
G0117,P06563,1
G0118,P05242,1
G0119,P05310,1
G0120,P05381,1
G0121,P02426,1
G0122,P00556,1
G0123,P00701,1
G0124,P07551,5
G0125,P01757,12
G0126,P04115,19
G0127,P00459,1
G0128,P05679,1
G0129,P01185,1
G0130,P04240,8
G0131,P06143,3
G0132,P00934,1
G0133,P03991,1
G0134,P05891,1
G0135,P03238,18
G0136,P00127,8
G0137,P01836,1
G0138,P06370,1
G0139,P02023,1
G0140,P00081,2
G0141,P00538,10
G0142,P00953,1
G0143,P03195,1
G0144,P04086,6
G0145,P00571,1
G0146,P00398,1
G0147,P01356,3
G0148,P04948,1
G0149,P01688,1
G0150,P03899,1
G0151,P05321,1
G0152,P07232,7
G0153,P04146,1
G0154,P02031,5
G0155,P00319,1
G0156,P00785,1
G0157,P07206,1
G0158,P02661,1
G0159,P04798,1
G0160,P05704,1
G0161,P07072,3
G0162,P05448,1
G0163,P00697,1
G0164,P04628,1
G0165,P05420,1
G0166,P00360,8
G0167,P07184,1
G0168,P01712,1
G0169,P06347,1
G0170,P01018,1
G0171,P07170,1
G0172,P06700,10
G0173,P02932,1
G0174,P00539,9
G0175,P03368,1
G0176,P01488,1
G0177,P06341,1
G0178,P01277,1
G0179,P02843,1
G0180,P00337,12
G0181,P02162,2
G0182,P02503,4
G0183,P06175,4
G0184,P02282,1
G0185,P05147,1
G0186,P03681,1
G0187,P00640,2
G0188,P04436,1
G0189,P00572,1
G0190,P05275,1
G0191,P05150,1
G0192,P05345,1
G0193,P00603,32
G0194,P02974,6
G0195,P05094,1
G0196,P00552,1
G0197,P00166,1
G0198,P01835,1
G0199,P05133,1
G0200,P01015,3
