id,gold_id,층,인간L1,조각,전문
P00585,G0012,보정불일치,위임,사항은 대통령령으로,"① 교육공무원으로 20년 이상 근속한 사람이 정년 전에 스스로 퇴직하는 경우에는 예산의 범위에서 명예퇴직수당을 지급할 수 있다.
② 제1항에 따른 교육공무원 중 교장ㆍ원장이 임기가 끝나기 전에 스스로 퇴직하는 경우 그 정년은 제47조에 따른 연령으로 본다. <개정 2012.3.21>
③ 제1항의 명예퇴직수당의 지급대상 범위, 지급액 및 지급절차와 그 밖에 필요한 사항은 대통령령으로 정한다.
제36조(명예퇴직)"
P06856,G0032,보정불일치,위임,사항은 대통령령으로,"①유족급여는 피공제자가 학교안전사고로 인하여 사망한 경우에 「국가배상법」 제3조제1항제1호에서 정한 금액 및 같은 법 제3조제5항에서 정한 위자료를 피공제자의 상속인에게 지급하되, 사실상 혼인관계에 있던 사람을 포함하여 지급한다. <개정 2012.1.26, 2021.3.23>
1. 삭제<2012.1.26>
2. 삭제<2012.1.26>
②제1항의 규정에 따른 유족급여의 지급기준 등에 관하여 필요한 사항은 대통령령으로 정한다.
제39조(유족급여)"
P04368,G0106,보정불일치,위임,2. 제2항에 따른 지역다문화교육지원센터의 경우: 해당 시ㆍ도의 조례,"① 교육부장관은 법 제28조의2제5항에 따라 다음 각 호의 업무를 수행하는 중앙다문화교육지원센터를 설치ㆍ운영할 수 있다.
1. 다문화교육 정책 수립을 위한 연구ㆍ개발 및 분석
2. 각급 학교, 시ㆍ도 교육청 및 그 밖의 다문화교육 관련 기관ㆍ법인ㆍ단체의 다문화교육 사업 운영 지원
3. 다문화학생등의 학습 지원을 위한 자료 개발 및 보급
4. 학부모 및 교직원에 대한 다문화교육 관련 연수ㆍ홍보 및 자료 개발
5. 그 밖에 다문화학생등의 교육지원에 관한 사항으로서 교육부장관이 필요하다고 인정하는 사항
② 교육감은 법 제28조의2제5항에 따라 다음 각 호의 업무를 수행하는 지역다문화교육지원센터를 설치ㆍ운영할 수 있다.
1. 지역 특성에 적합한 다문화교육 프로그램 운영
2. 각급 학교의 다문화교육 운영 지원
3. 다문화교육을 담당하는 교원의 역량 강화를 위한 연수 지원
4. 지역 내 다문화교육 관계 기관과의 협력체계 구축
5. 그 밖에 다문화학생등의 교육지원에 관한 사항으로서 교육감이 필요하다고 인정하는 사항
③ 교육부장관 및 교육감은 법 제28조의2제5항에 따라 제1항 각 호 또는 제2항 각 호에 따른 업무의 전부 또는 일부를 다음 각 호의 어느 하나에 해당하는 기관, 법인 또는 단체 중에서 위탁 업무를 수행할 수 있는 인력과 시설을 갖춘 자를 지정하여 위탁할 수 있다.
1. 「공공기관의 운영에 관한 법률」 제4조에 따른 공공기관
2. 「정부출연연구기관 등의 설립ㆍ운영 및 육성에 관한 법률」 제2조에 따른 정부출연연구기관
3. 그 밖에 다문화학생등의 교육지원 업무 수행에 필요한 인력과 시설을 갖추었다고 교육부장관 및 교육감이 인정하는 기관, 법인 또는 단체
④ 교육부장관 및 교육감은 제3항에 따라 업무를 위탁하는 경우에는 위탁받는 자와 위탁 업무의 내용을 교육부 또는 해당 시ㆍ도 교육청의 인터넷 홈페이지에 공고해야 한다.
⑤ 제1항에서 제4항까지에서 규정한 사항 외에 다문화교육지원센터의 설치ㆍ운영 및 지정ㆍ위탁의 방법과 기준 등에 필요한 세부 사항은 다음 각 호의 구분에 따라 정한다.
1. 제1항에 따른 중앙다문화교육지원센터의 경우: 교육부장관 고시
2. 제2항에 따른 지역다문화교육지원센터의 경우: 해당 시ㆍ도의 조례
제54조의5(다문화교육지원센터의 설치ㆍ운영 등)"
P04437,G0109,보정불일치,위임,"2. 그 밖에 국립학교의 경우에는 학칙으로, 공립학교의 경우에는 시·도의 조례로 미리 학부모의 의견을 수렴하도록 정한 사항","① 국ㆍ공립학교에 두는 운영위원회는 다음 각 호의 어느 하나에 해당하는 사항을 심의하려는 경우 국립학교의 경우에는 학칙으로, 공립학교의 경우에는 시ㆍ도의 조례로 정하는 바에 따라 미리 학부모의 의견을 수렴해야 한다. <개정 2017.12.29, 2022.3.22>
1. 법 제32조제1항제1호, 제5호, 제6호, 제9호 또는 제10호에 해당하는 사항
2. 그 밖에 국립학교의 경우에는 학칙으로, 공립학교의 경우에는 시ㆍ도의 조례로 미리 학부모의 의견을 수렴하도록 정한 사항
② 국ㆍ공립학교에 두는 운영위원회는 다음 각 호의 어느 하나에 해당하는 사항을 심의하기 위하여 필요하다고 인정하는 경우 학생 대표 등을 회의에 참석하게 하여 의견을 들을 수 있다. <개정 2017.12.29, 2022.3.22>
1. 법 제32조제1항제1호, 제6호 또는 제10호에 해당하는 사항
2. 그 밖에 학생의 학교생활에 밀접하게 관련된 사항
③ 국ㆍ공립학교에 두는 운영위원회는 국립학교의 경우에는 학칙으로, 공립학교의 경우에는 시ㆍ도의 조례로 정하는 바에 따라 학생 대표가 학생의 학교생활에 관련된 사항에 관하여 학생들의 의견을 수렴하여 운영위원회에 제안하게 할 수 있다.
제59조의4(의견 수렴 등)"
P04240,G0130,보정불일치,위임,사항은 대통령령으로,"① 중학교에 입학할 수 있는 사람은 초등학교를 졸업한 사람, 제27조의2제1항에 따라 초등학교를 졸업한 사람과 동등한 학력이 인정되는 시험에 합격한 사람, 그 밖에 법령에 따라 이와 같은 수준 이상의 학력이 있다고 인정된 사람으로 한다. <개정 2021.3.23>
② 그 밖에 중학교의 입학 방법과 절차 등에 필요한 사항은 대통령령으로 정한다.
제43조(입학자격 등)"
P00127,G0136,보정불일치,위임,사항은 대통령령으로,"① 대학(산업대학ㆍ교육대학을 포함하며, 대학원대학은 제외한다)에서 학칙으로 정하는 과정을 마친 사람에게는 학사학위를 수여한다.
② 대학원에서 학칙으로 정하는 과정을 마친 사람에게는 해당 과정의 석사학위나 박사학위를 수여한다.
③ 석사학위와 박사학위의 과정이 통합된 과정에 있는 사람 또는 같은 과정을 수료하거나 중도에 퇴학한 사람 중 박사학위를 취득하지 못한 사람으로서 학칙으로 정하는 석사학위의 수여기준을 충족한 사람에게는 석사학위를 수여할 수 있다. <개정 2017.11.28>
④ 학사학위와 석사학위의 과정이 통합된 과정에 있는 사람 또는 같은 과정을 수료하거나 중도에 퇴학한 사람 중 석사학위를 취득하지 못한 사람으로서 학칙으로 정하는 학사학위의 수여기준을 충족한 사람에게는 학사학위를 수여할 수 있다. <개정 2017.11.28>
⑤ 박사학위과정이 있는 대학원을 둔 학교에서는 명예박사학위를 수여할 수 있다.
⑥ 학위의 종류와 수여에 필요한 사항은 대통령령으로 정한다.
제35조(학위의 수여)"
P07232,G0152,보정불일치,위임,교육부령으로 정하는,"① 교습소를 설립ㆍ운영하려는 자는 대통령령으로 정하는 바에 따라 신고자 및 교습자의 인적사항, 교습소의 명칭 및 위치, 교습과목, 교습비등을 교습소설립ㆍ운영신고서에 기재하여 교육감에게 신고하여야 한다. 신고한 사항 중 교습자의 인적사항, 교습소의 명칭 및 위치, 교습과목, 교습비등, 그 밖에 대통령령으로 정하는 사항을 변경하려는 경우에도 또한 같다. <개정 2011.7.25>
② 교육감은 제1항에 따른 신고 또는 변경신고를 받은 날부터 8일 이내에 신고수리 여부를 신고인에게 통지하여야 한다. <신설 2018.12.18>
③ 교육감이 제2항에서 정한 기간 내에 신고수리 여부 또는 민원 처리 관련 법령에 따른 처리기간의 연장 여부를 신고인에게 통지하지 아니하면 그 기간(민원 처리 관련 법령에 따라 처리기간이 연장 또는 재연장된 경우에는 해당 처리기간을 말한다)이 끝난 날의 다음 날에 신고를 수리한 것으로 본다. <신설 2018.12.18>
④ 교육감은 제1항에 따른 신고를 수리한 경우에는 교육부령으로 정하는 바에 따라 신고증명서를 발급하여야 한다. <개정 2011.7.25, 2013.3.23, 2018.12.18>
⑤ 교습자는 제4항에 따라 발급받은 신고증명서를 교습소에 게시하여야 한다. <개정 2011.7.25, 2018.12.18>
⑥ 교습자가 제4항에 따라 발급받은 신고증명서를 잃어버리거나 그 신고증명서가 못쓰게 된 경우에는 교육부령으로 정하는 바에 따라 교육감에게 재발급을 신청하여야 한다. <개정 2011.7.25, 2013.3.23, 2018.12.18>
⑦ 교습소는 교습자 1명이 한 장소에서 1과목만을 교습하여야 한다. <개정 2011.7.25, 2018.12.18>
⑧ 교습자의 자격, 교습소의 장소ㆍ시설ㆍ설비, 학습자의 수, 그 밖에 필요한 사항은 대통령령으로 정한다. <신설 2011.7.25, 2018.12.18>
⑨ 교습자는 교습소를 폐소하거나 1개월 이상 휴소(休所)하려면 교육부령으로 정하는 바에 따라 지체 없이 교육감에게 신고하여야 한다. <신설 2011.7.25, 2013.3.23, 2018.12.18>
⑩ 제17조제2항에 따라 교습소의 폐지처분을 받은 자는 그 처분을 받은 날부터 1년 이내 또는 교습정지처분을 받은 자는 그 정지 기간이 지나지 아니한 경우에는 교육부령으로 정하는 바에 따라 같은 종류의 교습소를 신고할 수 없다. <신설 2011.7.25, 2013.3.23, 2016.5.29, 2018.12.18>
⑪ 교육감은 교습자가 「부가가치세법」 제8조에 따라 관할 세무서장에게 폐업신고를 하거나 관할 세무서장이 사업자등록을 말소한 경우에는 신고 사항을 직권으로 말소할 수 있다. <신설 2017.12.19, 2018.12.18>
⑫ 교육감은 제11항의 직권말소를 위하여 필요한 경우 관할 세무서장에게 교습자의 폐업여부에 대한 정보 제공을 요청할 수 있다. 이 경우 요청을 받은 관할 세무서장은 「전자정부법」 제36조제1항에 따라 교습자의 폐업여부에 대한 정보를 제공하여야 한다. <신설 2017.12.19, 2018.12.18>
⑬ 교습자는 제17조제2항에 따른 행정처분 기간과 그 처분을 위한 절차가 진행 중인 기간(「행정절차법」 제21조에 따른 처분의 사전 통지 시점부터 처분이 확정되기 전까지의 기간을 말한다) 중에는 제9항에 따른 폐소신고를 할 수 없다. <신설 2023.4.18>
제14조(교습소 설립ㆍ운영의 신고 등)"
P00319,G0155,보정불일치,위임,교육부령으로 정하는,"① 제1조에 따른 연수기관(이하 ""연수원""이라 한다)의 종류는 교육연수원, 교육행정연수원, 종합교육연수원 및 원격교육연수원으로 한다.
② 연수원은 다음 각 호의 구분에 따라 「고등교육법」 제2조제1호부터 제3호까지 및 제5호에 따른 학교, 특별시ㆍ광역시ㆍ특별자치시ㆍ도 및 특별자치도의 교육청(이하 ""교육청""이라 한다)과 교육부장관이 지정하는 기관 또는 법인에 해당 학교의 장, 교육감, 기관의 장 또는 법인의 대표가 설치한다.
1. 교육연수원: 대학, 산업대학 또는 교육대학
2. 교육행정연수원: 대학, 산업대학 또는 교육대학
3. 종합교육연수원: 대학, 산업대학, 교육대학, 원격대학 중 방송통신대학, 교육청, 교육부장관이 지정하는 기관 또는 법인
4. 원격교육연수원: 대학, 산업대학, 교육대학, 원격대학, 교육청, 교육부장관이 지정하는 기관 또는 법인
③ 제2항에 따른 연수원을 설치하려는 자(교육감을 제외한다)는 교육부령으로 정하는 바에 따라 교육부장관의 설치인가를 받아야 한다. 이 경우 교육부장관은 연수원의 지역적 분포 및 연수 대상 인원 등을 고려하여 연수원의 수(數)를 제한하여 설치인가를 할 수 있다.
④ 제3항에 따라 연수원의 설치인가를 받은 자가 연수원의 위치 등 교육부령으로 정하는 중요사항을 변경하거나 연수원을 폐지하려는 경우에는 교육부령으로 정하는 바에 따라 교육부장관의 인가를 받아야 한다. <신설 2018.4.3>
⑤ 연수원에는 원장(이하 ""연수원장""이라 한다)을 두며, 연수원장은 다음 각 호의 구분에 따른 사람이 된다. <개정 2018.4.3>
1. 대학, 산업대학, 교육대학 또는 원격대학에 설치하는 연수원: 해당 학교의 장이 소속 학교의 교수 또는 부교수 중에서 임명하는 사람
2. 교육청에 설치하는 연수원: 교육감이 소속 공무원 중에서 임명하는 사람
3. 교육부장관이 지정하는 기관에 설치하는 연수원: 해당 기관의 장이 임명하는 사람
4. 교육부장관이 지정하는 법인에 설치하는 연수원: 교육연수의 전문성을 지닌 사람 중에서 법인 이사회의 의결을 거쳐 이사장이 임명하는 사람
⑥ 연수원의 강사는 해당 연수원장이 위촉한다. <개정 2018.4.3>
⑦ 국립의 대학ㆍ산업대학ㆍ교육대학 또는 원격대학에 부설하는 연수원에는 따로 대통령령으로 정하는 바에 따라 공무원을 둘 수 있다. <개정 2018.4.3>
⑧ 「교육부와 그 소속기관 직제」 제2조제1항에 따른 국립특수교육원 및 중앙교육연수원이 같은 영 제23조제3호 및 제27조제1호에 따라 교원을 대상으로 실시하는 연수는 그 종류에 따라 제6조제1항에 따른 연수로 본다. <개정 2018.4.3, 2021.1.5>
제2조(연수기관의 종류 및 설치 등)"
P06700,G0172,보정불일치,위임,사항은 교육부령으로,"① 학교의 장은 학생과 교직원에 대하여 건강검사를 하여야 한다. 다만, 교직원에 대한 건강검사는 「국민건강보험법」 제52조에 따른 건강검진으로 갈음할 수 있다. <개정 2011.12.31>
② 학교의 장은 제1항에 따라 건강검사를 할 때에 질병의 유무 등을 조사하거나 검사하기 위하여 다음 각 호의 어느 하나에 해당하는 학생에 대하여는 「국민건강보험법」 제52조에 따른 건강검진 실시 기관에 의뢰하여 교육부령으로 정하는 사항에 대한 건강검사를 한다. <개정 2008.2.29, 2011.12.31, 2012.3.21, 2013.3.23>
1. 「초ㆍ중등교육법」 제2조제1호의 학교와 이에 준하는 특수학교ㆍ각종학교의 1학년 및 4학년 학생. 다만, 구강검진은 전 학년에 대하여 실시하되, 그 방법과 비용 등에 관한 사항은 지역실정에 따라 교육감이 정한다.
2. 「초ㆍ중등교육법」 제2조제2호ㆍ제3호의 학교와 이에 준하는 특수학교ㆍ각종학교의 1학년 학생
3. 그 밖에 건강을 보호ㆍ증진하기 위하여 교육부령으로 정하는 학생
③ 학교의 장은 제2항에 따른 건강검사 외에 학생의 건강을 보호ㆍ증진하기 위하여 필요하다고 인정하면 교육부령으로 정하는 바에 따라 그 학생을 별도로 검사할 수 있다. <개정 2008.2.29, 2013.3.23>
④ 학교의 장은 제1항과 제2항에도 불구하고 천재지변 등 부득이한 사유로 관할 교육감 또는 교육장의 승인을 받은 경우에는 교육부령으로 정하는 바에 따라 건강검사를 연기하거나 건강검사의 전부 또는 일부를 생략할 수 있다. <개정 2008.2.29, 2013.3.23>
⑤ 제2항에 따라 건강검사를 한 검진기관은 교육부령으로 정하는 바에 따라 그 검사결과를 해당 학생 또는 학부모와 해당 학교의 장에게 알려야 한다. <개정 2008.2.29, 2013.3.23>
⑥ 학교의 장은 제2조제1호의 정신건강 상태 검사를 실시할 때 필요한 경우에는 학부모의 동의 없이 실시할 수 있다. 이 경우 학교의 장은 지체 없이 해당 학부모에게 검사 사실을 통보하여야 한다. <신설 2012.3.21, 2016.3.2, 2021.3.23>
⑦ 제1항과 제2항에 따른 건강검사의 시기, 방법, 검사항목 및 절차 등에 관하여 필요한 사항은 교육부령으로 정한다. <개정 2008.2.29, 2012.3.21, 2013.3.23>
제7조(건강검사 등)"
P00603,G0193,보정불일치,위임,사항은 대통령령으로,"① 교육기관, 교육행정기관 및 교육연구기관의 장은 정기적으로 또는 수시로 그 소속 교육공무원의 재교육 및 연수 실적과 근무성적을 평정하여 인사관리에 반영하여야 한다.
② 제1항의 재교육 및 연수 실적과 근무성적 평정에 필요한 사항은 대통령령으로 정한다.
제42조(연수 실적 및 근무성적의 평정)"
