id,층,인간L1,조각판정,전문판정,조각
P00585,보정불일치,위임,판단불가,위임,사항은 대통령령으로
P06856,보정불일치,위임,위임,위임,사항은 대통령령으로
P04368,보정불일치,위임,위임,위임,2. 제2항에 따른 지역다문화교육지원센터의 경우: 해당 시ㆍ도의 조례
P04437,보정불일치,위임,위임,위임,"2. 그 밖에 국립학교의 경우에는 학칙으로, 공립학교의 경우에는 시·도의 조례로 미리 학부모의 의견을 수렴하"
P04240,보정불일치,위임,판단불가,위임,사항은 대통령령으로
P00127,보정불일치,위임,위임,위임,사항은 대통령령으로
P07232,보정불일치,위임,위임,위임,교육부령으로 정하는
P00319,보정불일치,위임,위임,위임,교육부령으로 정하는
P06700,보정불일치,위임,판단불가,위임,사항은 교육부령으로
P00603,보정불일치,위임,판단불가,위임,사항은 대통령령으로
P06808,조각·패널비위임,,위임,위임,교육부령이 정하는 건축등의
P07418,조각·패널비위임,,판단불가,위임,범위에서 대통령령으로
P03021,조각·패널비위임,,판단불가,위임,하나에 해당하는 자는 대통령령 또는
P06184,조각·패널비위임,,위임,위임,사항은 대통령령으로
P07527,조각·패널비위임,,판단불가,위임,대통령령으로 정하는
P06644,조각·패널비위임,,위임,위임,대통령령으로 정하는 바에
P05006,조각·패널비위임,,위임,위임,대통령령으로 정하는 기관을
P07345,조각·패널비위임,,위임,위임,교육부령으로 정하는 서류를
P07048,조각·패널비위임,,위임,위임,대통령령으로 정하는
P00594,조각·패널비위임,,위임,위임,사항은 대통령령으로
P06102,조각·패널비위임,,인용,위임,한다)에서 교육부령으로
P01806,조각·패널비위임,,판단불가,위임,사항은 대통령령으로
P05028,조각·패널비위임,,인용,위임,제9조에 따라 교육부장관이 고시하는 다자녀 가구의 자녀
P07421,조각·패널비위임,,판단불가,위임,대통령령으로 정하는
P04271,조각·패널비위임,,위임,위임,사항은 교육부령으로
P06725,조각·패널비위임,,판단불가,위임,사항은 대통령령으로
P05154,조각·패널비위임,,위임,위임,사항은 대통령령으로
P00591,조각·패널비위임,,위임,위임,사항은 대통령령으로
P07010,조각·패널비위임,,판단불가,위임,"사항은 대통령령으로, 학교체육진흥지역위원회의"
P07447,조각·패널비위임,,위임,위임,교육부령으로 정하는 학위증서를
P04264,조각·패널비위임,,판단불가,위임,사항은 대통령령으로
P07035,조각·패널비위임,,위임,위임,사항은 대통령령으로
P07188,조각·패널비위임,,위임,위임,갖추어 대통령령으로
P05126,조각·패널비위임,,판단불가,위임,교육부령으로 정하는
P07156,조각·패널비위임,,위임,위임,사항은 대통령령으로
P06185,조각·패널비위임,,위임,위임,사항은 대통령령으로
P07500,조각·패널비위임,,판단불가,위임,사항은 대통령령으로
P00470,조각·패널비위임,,인용,위임,2. 영 제17조제1항제3호 후단에 따른 지방자치단체의 인사규칙에서 정하는 바에 따라 자격증 소지를 의무화하
P04243,조각·패널비위임,,판단불가,위임,사항은 대통령령으로
P07036,조각·패널비위임,,판단불가,위임,사항은 대통령령으로
P06182,조각·패널비위임,,위임,위임,사항은 대통령령으로
P04242,조각·패널비위임,,판단불가,위임,사항은 대통령령으로
P04070,조각·패널비위임,,판단불가,위임,대하여는 대통령령으로
P00479,조각·패널비위임,,인용,위임,2. 영 제17조제1항제3호 후단에 따른 지방자치단체의 인사규칙에서 정하는 바에 따라 자격증 소지를 의무화하
P00595,조각·패널비위임,,위임,위임,사항은 대통령령으로
P04094,조각·패널비위임,,판단불가,위임,사항은 대통령령으로
P00473,조각·패널비위임,,인용,위임,2. 영 제17조제1항제3호 후단에 따른 지방자치단체의 인사규칙에서 정하는 바에 따라 자격증 소지를 의무화하
P04247,조각·패널비위임,,판단불가,위임,사항은 대통령령으로
P03326,조각·패널비위임,,위임,위임,대통령령으로 정한
P06200,조각·패널비위임,,위임,위임,필요한 사항은 대통령령으로
P01772,조각·패널비위임,,판단불가,위임,대통령령으로 정하는
P02107,조각·패널비위임,,판단불가,위임,교육부령
P07369,조각·패널비위임,,위임,위임,교육부령으로 정하는 서류를
P04093,조각·패널비위임,,위임,위임,사항은 대통령령으로
P01520,조각·패널비위임,,판단불가,위임,대통령령
P00235,조각·패널비위임,,판단불가,위임,대통령령으로 정하는
P04080,조각·패널비위임,,판단불가,위임,사항은 대통령령으로
P07417,조각·패널비위임,,위임,위임,대통령령으로 정하는
P02140,조각·패널비위임,,위임,위임,대통령령으로 정하는
P07494,조각·패널비위임,,판단불가,위임,사항은 대통령령으로
P00906,조각·패널비위임,,판단불가,위임,대통령령으로 지정하는 기관에
P07498,조각·패널비위임,,판단불가,위임,사항은 대통령령으로
P04252,조각·패널비위임,,위임,위임,사항은 대통령령으로
P00097,조각·패널비위임,,위임,위임,사항은 대통령령으로
P00619,조각·패널비위임,,위임,위임,사항은 대통령령으로
P00472,조각·패널비위임,,인용,위임,2. 영 제17조제1항제3호 후단에 따른 지방자치단체의 인사규칙에서 정하는 바에 따라 자격증 소지를 의무화하
P07464,조각·패널비위임,,판단불가,위임,사항은 대통령령으로
P00469,조각·패널비위임,,인용,위임,2. 영 제17조제1항제3호 후단에 따른 지방자치단체의 인사규칙에서 정하는 바에 따라 자격증 소지를 의무화하
