id,r1_L1,r2_L1,r3_L1,r1_L2,r2_L2,r3_L2,L1_일관성,L2_일관성
P00007,인용,위임,위임,해당없음,대통령령,대통령령,0.667,0.667
P00014,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00022,위임,위임,위임,교육규칙,교육규칙,교육규칙,1.0,1.0
P00026,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00051,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00052,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00078,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00093,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00109,판단불가,위임,위임,해당없음,부령,부령,0.667,0.667
P00118,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00119,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00131,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00154,위임,위임,판단불가,대통령령,대통령령,미특정,0.667,0.667
P00172,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00176,위임,위임,판단불가,대통령령,대통령령,해당없음,0.667,0.667
P00178,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00185,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00188,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00192,판단불가,판단불가,위임,해당없음,해당없음,대통령령,0.667,0.667
P00203,위임,인용,위임,대통령령,해당없음,대통령령,0.667,0.667
P00269,위임,위임,위임,교육규칙,교육규칙,교육규칙,1.0,1.0
P00286,위임,위임,위임,고시,고시,고시,1.0,1.0
P00321,위임,위임,위임,부령,부령,부령,1.0,1.0
P00331,위임,위임,위임,미특정,미특정,미특정,1.0,1.0
P00338,인용,인용,인용,해당없음,해당없음,해당없음,1.0,1.0
P00347,인용,위임,인용,해당없음,미특정,해당없음,0.667,0.667
P00358,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00362,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00364,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
