id,조문문장,T5_L1,T5_L2,T5_확신도,T5_근거
G0001,대통령령으로 정하는 경미한 사항을,위임,대통령령,4,문구는 '대통령령으로 정하는 ○○' 형태로 일부 요건을 대통령령에 맡기는 전형적 위임 표현이다. 다만 문장이 단편이라 완전 문맥은 없지만 형식상 위임으로 판정함.
G0002,또는 대통령령으로,판단불가,대통령령,4,문장이 단절되어 있어 맥락 없이 규율권 이전인지 인용인지 판단 불가하지만 표지어구에 '대통령령'이 있어 법형식은 대통령령으로 표기함.
G0003,"교육부장관이 정하는 기준에 적합한 산업체, 기관 또는 시설에서 전공학과 및 그에 관련되는 학과의 학문분야에",위임,미특정,4,문장이 '교육부장관이 정하는 기준'이라고 하여 규율사항의 일부를 상급자가 정하도록 위임하고 있으므로 위임으로 판단된다. 형식은 '교육부장관이 정하는'으로 특정 법형식을 명시하지 않아 미특정이다.
G0004,교육감은 그 소관 사무의 범위 안에서 필요한 때에는 대통령령 또는 조례로 정하는 바에 따라 교육기관을 설치할 수 있다.,위임,대통령령|조례,5,"문장이 '대통령령 또는 조례로 정하는 바에 따라'라고 규정하여 규율권한을 하위 규범(대통령령·조례)에게 넘기고 있어 위임이며, 법형식으로 대통령령과 조례를 병기하고 있다."
G0005,3. 그 밖에 의무상환액의 납부에 필요한 사항으로서 교육부장관이 정하는 사항,위임,미특정,5,문장이 '교육부장관이 정하는 사항'이라고 규정하여 규율권한을 하위규범에 위임하고 있으나 법형식을 특정하지 않아 '미특정'으로 판정함.
G0006,③ 교육감은 법 제44조제3항에 따라 다음 각 호의 권한을 조례로 정하는 바에 따라 소관 교육장에게 위임할 수 있다.,위임,조례,5,문장이 '권한을 조례로 정하는 바에 따라 ... 위임할 수 있다'로 규율권한을 하위 규범(조례)에 넘기고 있음을 명시한다.
G0007,대통령령으로 정하는,위임,대통령령,4,문장이 '대통령령으로 정하는'으로 끝나 규율권한을 하위법령(대통령령)으로 넘기는 전형적 위임 표현이다.
G0008,"① 국ㆍ공립학교에 두는 운영위원회는 다음 각 호의 어느 하나에 해당하는 사항을 심의하려는 경우 국립학교의 경우에는 학칙으로, 공립학교의 경우에는 시ㆍ도의 조례로 정하는 바에 따라 미리 학부모의 의견을 수렴해야 한다.",위임,조례,5,문장은 ‘공립학교의 경우에는 시·도의 조례로 정하는 바에 따라’라고 명시하여 규율권한을 조례에 넘기고 있어 위임에 해당한다.
G0009,5. 그 밖에 학교용지의 확보 등에 필요하거나 부담금을 적정하게 관리하기 위하여 필요한 사항으로 해당 시·도의 조례로 정하는 사항,위임,조례,5,문장이 '해당 시·도의 조례로 정하는 사항'으로 끝나며 필요한 사항을 규율하도록 규범 제정권한을 조례에 위임하고 있으므로 위임으로 판정된다.
G0010,생활비 대출원리금의 계산방법은 교육부장관이 정하여 고시한다.,위임,고시,5,문장이 '정하여 고시한다'로 규율권한을 하위 규범(고시)에 넘기고 있다 — 종결형 위임 표현이다.
