id,상위법령ID,상위법령명,상위조문번호,상위조문제목,조문문장,위임표지어구,API_위임구분,자동추출_위임형식,대상유형,대상명
P00001,009936,경제자유구역 및 제주국제자유도시의 외국교육기관 설립ㆍ운영에 관한 특별법,5,외국교육기관의 설립승인,대통령령으로 정하는,대통령령,시행령,대통령령,법령,경제자유구역 및 제주국제자유도시의 외국교육기관 설립ㆍ운영에 관한 특별법 시행령
P00002,009936,경제자유구역 및 제주국제자유도시의 외국교육기관 설립ㆍ운영에 관한 특별법,5,외국교육기관의 설립승인,대통령령으로 정하는,대통령령,시행령,대통령령,법령,경제자유구역 및 제주국제자유도시의 외국교육기관 설립ㆍ운영에 관한 특별법 시행령
P00003,009936,경제자유구역 및 제주국제자유도시의 외국교육기관 설립ㆍ운영에 관한 특별법,5,외국교육기관의 설립승인,대통령령으로 정하는,대통령령,시행령,대통령령,법령,경제자유구역 및 제주국제자유도시의 외국교육기관 설립ㆍ운영에 관한 특별법 시행령
P00004,009936,경제자유구역 및 제주국제자유도시의 외국교육기관 설립ㆍ운영에 관한 특별법,5,외국교육기관의 설립승인,대통령령으로 정하는,대통령령,시행령,대통령령,법령,경제자유구역 및 제주국제자유도시의 외국교육기관 설립ㆍ운영에 관한 특별법 시행령
P00005,009936,경제자유구역 및 제주국제자유도시의 외국교육기관 설립ㆍ운영에 관한 특별법,5,외국교육기관의 설립승인,대통령령으로 정한다,대통령령,시행령,대통령령,법령,경제자유구역 및 제주국제자유도시의 외국교육기관 설립ㆍ운영에 관한 특별법 시행령
P00006,009936,경제자유구역 및 제주국제자유도시의 외국교육기관 설립ㆍ운영에 관한 특별법,5,외국교육기관의 설립승인,대통령령으로 정한다,대통령령,시행령,대통령령,법령,경제자유구역 및 제주국제자유도시의 외국교육기관 설립ㆍ운영에 관한 특별법 시행령
P00007,009936,경제자유구역 및 제주국제자유도시의 외국교육기관 설립ㆍ운영에 관한 특별법,5,외국교육기관의 설립승인,대통령령으로 정한다,대통령령,시행령,대통령령,법령,경제자유구역 및 제주국제자유도시의 외국교육기관 설립ㆍ운영에 관한 특별법 시행령
P00008,009936,경제자유구역 및 제주국제자유도시의 외국교육기관 설립ㆍ운영에 관한 특별법,5,외국교육기관의 설립승인,대통령령으로 정한다,대통령령,시행령,대통령령,법령,경제자유구역 및 제주국제자유도시의 외국교육기관 설립ㆍ운영에 관한 특별법 시행령
P00009,009936,경제자유구역 및 제주국제자유도시의 외국교육기관 설립ㆍ운영에 관한 특별법,5,외국교육기관의 설립승인,대통령령으로 정한다,대통령령,시행령,대통령령,법령,경제자유구역 및 제주국제자유도시의 외국교육기관 설립ㆍ운영에 관한 특별법 시행령
P00010,009936,경제자유구역 및 제주국제자유도시의 외국교육기관 설립ㆍ운영에 관한 특별법,5,외국교육기관의 설립승인,대통령령으로 정한다,대통령령,시행령,대통령령,법령,경제자유구역 및 제주국제자유도시의 외국교육기관 설립ㆍ운영에 관한 특별법 시행령
P00011,009936,경제자유구역 및 제주국제자유도시의 외국교육기관 설립ㆍ운영에 관한 특별법,9,지도ㆍ감독,대통령령으로 정하는,대통령령,시행령,대통령령,법령,경제자유구역 및 제주국제자유도시의 외국교육기관 설립ㆍ운영에 관한 특별법 시행령
P00012,009936,경제자유구역 및 제주국제자유도시의 외국교육기관 설립ㆍ운영에 관한 특별법,10,학생정원,대통령령으로 정하는 비율의,대통령령,시행령,대통령령,법령,경제자유구역 및 제주국제자유도시의 외국교육기관 설립ㆍ운영에 관한 특별법 시행령
P00013,009936,경제자유구역 및 제주국제자유도시의 외국교육기관 설립ㆍ운영에 관한 특별법,10,학생정원,대통령령으로 정하는 인력의 양성과,대통령령,시행령,대통령령,법령,경제자유구역 및 제주국제자유도시의 외국교육기관 설립ㆍ운영에 관한 특별법 시행령
P00014,009936,경제자유구역 및 제주국제자유도시의 외국교육기관 설립ㆍ운영에 관한 특별법,10,학생정원,내국인의 수는 대통령령으로 정하는,대통령령,시행령,대통령령,법령,경제자유구역 및 제주국제자유도시의 외국교육기관 설립ㆍ운영에 관한 특별법 시행령
P00015,009936,경제자유구역 및 제주국제자유도시의 외국교육기관 설립ㆍ운영에 관한 특별법,11,학력인정,대통령령으로 정하는,대통령령,시행령,대통령령,법령,경제자유구역 및 제주국제자유도시의 외국교육기관 설립ㆍ운영에 관한 특별법 시행령
P00016,009936,경제자유구역 및 제주국제자유도시의 외국교육기관 설립ㆍ운영에 관한 특별법,11,학력인정,대통령령으로 정한다,대통령령,시행령,대통령령,법령,경제자유구역 및 제주국제자유도시의 외국교육기관 설립ㆍ운영에 관한 특별법 시행령
P00017,009936,경제자유구역 및 제주국제자유도시의 외국교육기관 설립ㆍ운영에 관한 특별법,12,외국교육기관의 회계처리,교육부장관이 정하는 회계기준 등에 따라 처리한다.,교육부장관이 정하는,위임행정규칙,미특정,행정규칙,외국교육기관 회계기준
P00018,009936,경제자유구역 및 제주국제자유도시의 외국교육기관 설립ㆍ운영에 관한 특별법,14,재정지원 등,대통령령으로 정하는 바에 따라 외국교육기관의 신청을,대통령령,시행령,대통령령,법령,경제자유구역 및 제주국제자유도시의 외국교육기관 설립ㆍ운영에 관한 특별법 시행령
P00019,009936,경제자유구역 및 제주국제자유도시의 외국교육기관 설립ㆍ운영에 관한 특별법,24,과태료,대통령령으로 정하는,대통령령,시행령,대통령령,법령,경제자유구역 및 제주국제자유도시의 외국교육기관 설립ㆍ운영에 관한 특별법 시행령
P00020,010073,경제자유구역 및 제주국제자유도시의 외국교육기관 설립ㆍ운영에 관한 특별법 시행령,7,학생의 정원,③ 법 제10조제1항 단서에 따라 외국교육기관에 입학할 수 있는 내국인 학생 수의 비율은 해당 외국교육기관 학생정원의 30퍼센트의 범위에서 위원회가 조정하는 비율로 한다. 이 경우 교육감이 특별시·광역시 또는 도의 교육여건을 고려하여 학생정원의 20퍼센트의 범위에서 특별시·광역시 또는 도의 교육규칙으로 입학비율을 추가로 높일 수 있다.,교육감이 특별시.광역시 또는 도의 교육여건을 고려하여 학생정원의 20퍼센트의 범위에서 특별시.광역시 또는 도의 교육규칙으로,위임자치법규,조례,자치법규,강원특별자치도 외국교육기관 내국인 학생 추가 입학비율에 관한 규칙
P00021,010073,경제자유구역 및 제주국제자유도시의 외국교육기관 설립ㆍ운영에 관한 특별법 시행령,7,학생의 정원,③ 법 제10조제1항 단서에 따라 외국교육기관에 입학할 수 있는 내국인 학생 수의 비율은 해당 외국교육기관 학생정원의 30퍼센트의 범위에서 위원회가 조정하는 비율로 한다. 이 경우 교육감이 특별시·광역시 또는 도의 교육여건을 고려하여 학생정원의 20퍼센트의 범위에서 특별시·광역시 또는 도의 교육규칙으로 입학비율을 추가로 높일 수 있다.,교육감이 특별시.광역시 또는 도의 교육여건을 고려하여 학생정원의 20퍼센트의 범위에서 특별시.광역시 또는 도의 교육규칙으로,위임자치법규,조례,자치법규,대구광역시 외국교육기관 내국인 학생 추가 입학비율에 관한 규칙
P00022,010073,경제자유구역 및 제주국제자유도시의 외국교육기관 설립ㆍ운영에 관한 특별법 시행령,7,학생의 정원,③ 법 제10조제1항 단서에 따라 외국교육기관에 입학할 수 있는 내국인 학생 수의 비율은 해당 외국교육기관 학생정원의 30퍼센트의 범위에서 위원회가 조정하는 비율로 한다. 이 경우 교육감이 특별시·광역시 또는 도의 교육여건을 고려하여 학생정원의 20퍼센트의 범위에서 특별시·광역시 또는 도의 교육규칙으로 입학비율을 추가로 높일 수 있다.,교육감이 특별시.광역시 또는 도의 교육여건을 고려하여 학생정원의 20퍼센트의 범위에서 특별시.광역시 또는 도의 교육규칙으로,위임자치법규,조례,자치법규,인천광역시 외국교육기관 운영에 관한 규칙
P00023,010880,고등교육기관의 평가ㆍ인증 등에 관한 규정,5,인정기관의 지정기준,"② 제1항제1호, 제1호의2, 제2호 및 제3호의 기준에 대한 구체적인 내용은 교육부장관이 정한다.",교육부장관이 정한다,위임행정규칙,,행정규칙,고등교육 평가·인증 인정기관 지정기준
P00024,010880,고등교육기관의 평가ㆍ인증 등에 관한 규정,6,인정기관의 지정,8. 그 밖에 신청기관의 지정 여부를 심의하기 위하여 교육부장관이 정하는 자료,교육부장관이 정하는 자료,위임행정규칙,미특정,행정규칙,고등교육 평가·인증 인정기관 지정기준
P00025,000899,고등교육법,4,학교의 설립 등,대통령령으로 정하는,대통령령,시행령,대통령령,법령,고등교육법 시행령
P00026,000899,고등교육법,4,학교의 설립 등,대통령령으로 정하는,대통령령,시행령,대통령령,법령,고등교육법 시행령
P00027,000899,고등교육법,5,지도ㆍ감독,대통령령으로 정하는,대통령령,시행령,대통령령,법령,고등교육법 시행령
P00028,000899,고등교육법,6,학교규칙,필요한 사항은 대통령령으로,대통령령,시행령,대통령령,법령,고등교육법 시행령
